date,open,high,low,close,volume
2020-02-17 08:42:00,117.20999908447266,118.0,117.0,117.0,0.0
2020-02-17 08:43:00,,,,,
2020-02-17 08:44:00,,,,,
2020-02-17 08:45:00,,,,,
2020-02-17 08:46:00,,,,,
2020-02-17 08:47:00,,,,,
2020-02-17 08:48:00,,,,,
2020-02-17 08:49:00,,,,,
2020-02-17 08:50:00,116.98999786376953,116.98999786376953,116.98999786376953,116.98999786376953,100.0
2020-02-17 08:51:00,,,,,
2020-02-17 08:52:00,,,,,
2020-02-17 08:53:00,,,,,
2020-02-17 08:54:00,,,,,
2020-02-17 08:55:00,116.98999786376953,116.98999786376953,116.98999786376953,116.98999786376953,100.0
2020-02-17 08:56:00,,,,,
2020-02-17 08:57:00,,,,,
2020-02-17 08:58:00,116.02999877929688,116.02999877929688,116.02999877929688,116.02999877929688,140.0
2020-02-17 08:59:00,,,,,
2020-02-17 09:00:00,,,,,
2020-02-17 09:01:00,,,,,
2020-02-17 09:02:00,,,,,
2020-02-17 09:03:00,,,,,
2020-02-17 09:04:00,,,,,
2020-02-17 09:05:00,,,,,
2020-02-17 09:06:00,,,,,
2020-02-17 09:07:00,,,,,
2020-02-17 09:08:00,,,,,
2020-02-17 09:09:00,,,,,
2020-02-17 09:10:00,,,,,
2020-02-17 09:11:00,,,,,
2020-02-17 09:12:00,,,,,
2020-02-17 09:13:00,,,,,
2020-02-17 09:14:00,,,,,
2020-02-17 09:15:00,,,,,
2020-02-17 09:16:00,,,,,
2020-02-17 09:17:00,,,,,
2020-02-17 09:18:00,,,,,
2020-02-17 09:19:00,,,,,
2020-02-17 09:20:00,,,,,
2020-02-17 09:21:00,,,,,
2020-02-17 09:22:00,,,,,
2020-02-17 09:23:00,,,,,
2020-02-17 09:24:00,,,,,
2020-02-17 09:25:00,,,,,
2020-02-17 09:26:00,,,,,
2020-02-17 09:27:00,,,,,
2020-02-17 09:28:00,,,,,
2020-02-17 09:29:00,,,,,
2020-02-17 09:30:00,,,,,
2020-02-17 09:31:00,,,,,
2020-02-17 09:32:00,,,,,
2020-02-17 09:33:00,,,,,
2020-02-17 09:34:00,,,,,
2020-02-17 09:35:00,,,,,
2020-02-17 09:36:00,,,,,
2020-02-17 09:37:00,,,,,
2020-02-17 09:38:00,,,,,
2020-02-17 09:39:00,,,,,
2020-02-17 09:40:00,,,,,
2020-02-17 09:41:00,,,,,
2020-02-17 09:42:00,,,,,
2020-02-17 09:43:00,,,,,
2020-02-17 09:44:00,,,,,
2020-02-17 09:45:00,,,,,
2020-02-17 09:46:00,,,,,
2020-02-17 09:47:00,,,,,
2020-02-17 09:48:00,,,,,
2020-02-17 09:49:00,,,,,
2020-02-17 09:50:00,,,,,
2020-02-17 09:51:00,,,,,
2020-02-17 09:52:00,,,,,
2020-02-17 09:53:00,,,,,
2020-02-17 09:54:00,,,,,
2020-02-17 09:55:00,,,,,
2020-02-17 09:56:00,,,,,
2020-02-17 09:57:00,,,,,
2020-02-17 09:58:00,,,,,
2020-02-17 09:59:00,,,,,
2020-02-17 10:00:00,,,,,
2020-02-17 10:01:00,,,,,
2020-02-17 10:02:00,,,,,
2020-02-17 10:03:00,,,,,
2020-02-17 10:04:00,,,,,
2020-02-17 10:05:00,,,,,
2020-02-17 10:06:00,,,,,
2020-02-17 10:07:00,,,,,
2020-02-17 10:08:00,,,,,
2020-02-17 10:09:00,,,,,
2020-02-17 10:10:00,,,,,
2020-02-17 10:11:00,,,,,
2020-02-17 10:12:00,,,,,
2020-02-17 10:13:00,,,,,
2020-02-17 10:14:00,,,,,
2020-02-17 10:15:00,,,,,
2020-02-17 10:16:00,,,,,
2020-02-17 10:17:00,,,,,
2020-02-17 10:18:00,,,,,
2020-02-17 10:19:00,,,,,
2020-02-17 10:20:00,,,,,
2020-02-17 10:21:00,,,,,
2020-02-17 10:22:00,,,,,
2020-02-17 10:23:00,,,,,
2020-02-17 10:24:00,116.9800033569336,116.98999786376953,116.73999786376953,116.73999786376953,5703.0
2020-02-17 10:25:00,,,,,
2020-02-17 10:26:00,,,,,
2020-02-17 10:27:00,,,,,
2020-02-17 10:28:00,,,,,
2020-02-17 10:29:00,116.98999786376953,116.98999786376953,116.98999786376953,116.98999786376953,625.0
2020-02-17 10:30:00,,,,,
2020-02-17 10:31:00,116.98999786376953,116.98999786376953,116.98999786376953,116.98999786376953,117.0
2020-02-17 10:32:00,116.9800033569336,116.9800033569336,116.75,116.9800033569336,353.0
2020-02-17 10:33:00,116.9800033569336,116.9800033569336,116.9800033569336,116.9800033569336,198.0
2020-02-17 10:34:00,116.72000122070312,116.72000122070312,116.08000183105469,116.5,1660.0
2020-02-17 10:35:00,,,,,
2020-02-17 10:36:00,116.5,116.5,116.05999755859375,116.5,9432.0
2020-02-17 10:37:00,,,,,
2020-02-17 10:38:00,,,,,
2020-02-17 10:39:00,,,,,
2020-02-17 10:40:00,,,,,
2020-02-17 10:41:00,,,,,
2020-02-17 10:42:00,116.5,116.5,116.5,116.5,259.0
2020-02-17 10:43:00,116.5,116.5,116.5,116.5,236.0
