Date,Open,High,Low,Close,Adj Close,Volume
2000-10-04,14.000000,14.000000,12.800000,12.800000,7.889317,0
2000-10-05,12.800000,12.800000,12.800000,12.800000,7.889317,0
2000-10-06,13.980000,13.980000,12.500000,12.500000,7.704409,0
2000-10-09,12.500000,12.500000,12.500000,12.500000,7.704409,0
2000-10-10,null,null,null,null,null,null
2000-10-11,null,null,null,null,null,null
2000-10-12,null,null,null,null,null,null
2000-10-13,13.100000,13.100000,12.200000,12.200000,7.519503,0
2000-10-16,null,null,null,null,null,null
2000-10-17,null,null,null,null,null,null
2000-10-18,14.000000,14.000000,12.880000,12.880000,7.938622,0
2000-10-19,null,null,null,null,null,null
2000-10-20,13.500000,13.500000,13.200000,13.200000,8.135857,0
2000-10-23,null,null,null,null,null,null
2000-10-24,13.400000,13.400000,13.400000,13.400000,8.259125,0
2000-10-25,null,null,null,null,null,null
2000-10-26,null,null,null,null,null,null
2000-10-27,14.300000,14.300000,14.100000,14.100000,8.690574,0
2000-10-30,14.100000,14.100000,14.100000,14.100000,8.690574,0
2000-10-31,14.100000,14.100000,14.100000,14.100000,8.690574,0
2000-11-01,14.100000,14.100000,14.100000,14.100000,8.690574,0
2000-11-02,14.100000,14.100000,14.100000,14.100000,8.690574,0
2000-11-03,null,null,null,null,null,null
2000-11-06,15.000000,15.000000,14.100000,14.100000,8.690574,0
2000-11-07,14.100000,14.100000,14.100000,14.100000,8.690574,0
2000-11-08,15.000000,15.000000,14.300000,14.300000,8.813844,0
2000-11-09,14.300000,14.300000,14.300000,14.300000,8.813844,0
2000-11-10,14.300000,14.300000,14.300000,14.300000,8.813844,0
2000-11-13,14.600000,14.600000,10.000000,10.000000,6.163527,0
2000-11-14,10.000000,10.000000,10.000000,10.000000,6.163527,0
2000-11-15,10.000000,10.000000,10.000000,10.000000,6.163527,0
2000-11-16,10.000000,10.000000,10.000000,10.000000,6.163527,0
2000-11-17,10.000000,10.000000,10.000000,10.000000,6.163527,0
2000-11-20,10.000000,10.000000,10.000000,10.000000,6.163527,0
2000-11-21,10.000000,10.000000,10.000000,10.000000,6.163527,0
2000-11-22,null,null,null,null,null,null
2000-11-23,null,null,null,null,null,null
2000-11-24,null,null,null,null,null,null
2000-11-27,null,null,null,null,null,null
2000-11-28,null,null,null,null,null,null
2000-11-29,null,null,null,null,null,null
2000-11-30,null,null,null,null,null,null
2000-12-01,null,null,null,null,null,null
2000-12-04,null,null,null,null,null,null
2000-12-05,null,null,null,null,null,null
2000-12-06,null,null,null,null,null,null
2000-12-07,null,null,null,null,null,null
2000-12-08,14.320000,14.320000,14.160000,14.160000,8.727556,0
2000-12-11,null,null,null,null,null,null
2000-12-12,null,null,null,null,null,null
2000-12-13,null,null,null,null,null,null
2000-12-14,14.700000,14.700000,14.700000,14.700000,9.060386,0
2000-12-15,14.700000,14.700000,14.300000,14.300000,8.813844,0
2000-12-18,null,null,null,null,null,null
2000-12-19,14.760000,14.760000,14.100000,14.100000,8.690574,0
2000-12-20,null,null,null,null,null,null
2000-12-21,null,null,null,null,null,null
2000-12-22,null,null,null,null,null,null
2000-12-25,null,null,null,null,null,null
2000-12-26,null,null,null,null,null,null
2000-12-27,null,null,null,null,null,null
2000-12-28,15.660000,15.660000,15.660000,15.660000,9.652085,0
2000-12-29,null,null,null,null,null,null
2001-01-01,null,null,null,null,null,null
2001-01-02,null,null,null,null,null,null
2001-01-03,null,null,null,null,null,null
2001-01-04,null,null,null,null,null,null
2001-01-05,null,null,null,null,null,null
2001-01-08,null,null,null,null,null,null
2001-01-09,null,null,null,null,null,null
2001-01-10,null,null,null,null,null,null
2001-01-11,null,null,null,null,null,null
2001-01-12,null,null,null,null,null,null
2001-01-15,null,null,null,null,null,null
2001-01-16,null,null,null,null,null,null
2001-01-17,null,null,null,null,null,null
2001-01-18,null,null,null,null,null,null
2001-01-19,null,null,null,null,null,null
2001-01-22,null,null,null,null,null,null
2001-01-23,null,null,null,null,null,null
2001-01-24,null,null,null,null,null,null
2001-01-25,null,null,null,null,null,null
2001-01-26,null,null,null,null,null,null
2001-01-29,16.379999,16.379999,15.000000,15.000000,9.245292,0
2001-01-30,null,null,null,null,null,null
2001-01-31,null,null,null,null,null,null
2001-02-01,17.500000,17.500000,17.200001,17.200001,10.601268,0
2001-02-02,17.500000,17.500000,11.800000,11.800000,7.272964,0
2001-02-05,null,null,null,null,null,null
2001-02-06,17.500000,17.500000,17.000000,17.000000,10.477998,0
2001-02-07,17.500000,17.500000,17.000000,17.000000,10.477998,0
2001-02-08,17.500000,17.500000,15.000000,15.000000,9.245292,0
2001-02-09,null,null,null,null,null,null
2001-02-12,20.000000,20.000000,17.400000,17.400000,10.724538,0
2001-02-13,null,null,null,null,null,null
2001-02-14,19.000000,19.000000,15.000000,15.000000,9.245292,0
2001-02-15,19.000000,19.000000,15.000000,15.000000,9.245292,0
2001-02-16,19.000000,19.000000,15.000000,15.000000,9.245292,0
2001-02-19,null,null,null,null,null,null
2001-02-20,19.000000,19.000000,18.000000,18.000000,11.094350,0
2001-02-21,19.000000,19.000000,15.000000,15.000000,9.245292,0
2001-02-22,19.000000,19.000000,17.000000,17.000000,10.477998,0
2001-02-23,null,null,null,null,null,null
2001-02-26,18.900000,18.900000,17.500000,17.500000,10.786174,0
2001-02-27,18.799999,18.799999,17.000000,17.000000,10.477998,0
2001-02-28,18.700001,18.700001,12.000000,12.000000,7.396234,0
2001-03-01,18.500000,18.500000,12.000000,12.000000,7.396234,0
2001-03-02,18.200001,18.200001,12.000000,12.000000,7.396234,0
2001-03-05,null,null,null,null,null,null
2001-03-06,18.600000,18.600000,12.000000,12.000000,7.396234,0
2001-03-07,null,null,null,null,null,null
2001-03-08,19.200001,19.200001,17.799999,17.799999,10.971078,0
2001-03-09,18.900000,18.900000,12.000000,12.000000,7.396234,0
2001-03-12,18.600000,18.600000,11.500000,11.500000,7.088057,0
2001-03-13,18.700001,18.700001,11.500000,11.500000,7.088057,0
2001-03-14,18.700001,18.700001,11.500000,11.500000,7.088057,0
2001-03-15,null,null,null,null,null,null
2001-03-16,null,null,null,null,null,null
2001-03-19,null,null,null,null,null,null
2001-03-20,18.700001,18.700001,12.200000,12.200000,7.519503,0
2001-03-21,null,null,null,null,null,null
2001-03-22,19.600000,19.600000,12.200000,12.200000,7.519503,0
2001-03-23,19.250000,19.250000,12.200000,12.200000,7.519503,0
2001-03-26,19.000000,19.000000,12.300000,12.300000,7.581139,0
2001-03-27,19.000000,19.000000,12.300000,12.300000,7.581139,0
2001-03-28,null,null,null,null,null,null
2001-03-29,19.200001,19.200001,12.300000,12.300000,7.581139,0
2001-03-30,19.200001,19.200001,12.300000,12.300000,7.581139,0
2001-04-02,19.000000,19.000000,12.300000,12.300000,7.581139,0
2001-04-03,19.000000,19.000000,12.300000,12.300000,7.581139,0
2001-04-04,19.700001,19.700001,12.300000,12.300000,7.581139,0
2001-04-05,null,null,null,null,null,null
2001-04-06,null,null,null,null,null,null
2001-04-09,18.100000,18.100000,12.300000,12.300000,7.581139,0
2001-04-10,null,null,null,null,null,null
2001-04-11,19.200001,19.200001,12.300000,12.300000,7.581139,0
2001-04-12,null,null,null,null,null,null
2001-04-13,null,null,null,null,null,null
2001-04-16,19.200001,19.200001,12.400000,12.400000,7.642774,0
2001-04-17,19.200001,19.200001,12.400000,12.400000,7.642774,0
2001-04-18,20.600000,20.600000,18.000000,18.000000,11.094350,0
2001-04-19,20.500000,20.500000,12.400000,12.400000,7.642774,0
2001-04-20,19.250000,19.250000,12.400000,12.400000,7.642774,0
2001-04-23,18.190001,18.190001,13.000000,13.000000,8.012585,0
2001-04-24,18.200001,18.200001,13.000000,13.000000,8.012585,0
2001-04-25,19.000000,19.000000,13.000000,13.000000,8.012585,0
2001-04-26,null,null,null,null,null,null
2001-04-27,18.200001,18.200001,13.000000,13.000000,8.012585,0
2001-04-30,18.200001,18.200001,11.500000,11.500000,7.088057,0
2001-05-01,null,null,null,null,null,null
2001-05-02,null,null,null,null,null,null
2001-05-03,18.200001,18.200001,11.500000,11.500000,7.088057,0
2001-05-04,18.000000,18.000000,11.500000,11.500000,7.088057,0
2001-05-07,null,null,null,null,null,null
2001-05-08,null,null,null,null,null,null
2001-05-09,null,null,null,null,null,null
2001-05-10,null,null,null,null,null,null
2001-05-11,25.000000,25.000000,11.000000,11.000000,6.779880,0
2001-05-14,null,null,null,null,null,null
2001-05-15,null,null,null,null,null,null
2001-05-16,null,null,null,null,null,null
2001-05-17,null,null,null,null,null,null
2001-05-18,17.000000,17.000000,15.400000,15.400000,9.491832,0
2001-05-21,null,null,null,null,null,null
2001-05-22,18.000000,18.000000,11.270000,11.270000,6.946297,0
2001-05-23,null,null,null,null,null,null
2001-05-24,null,null,null,null,null,null
2001-05-25,18.000000,18.000000,16.250000,16.250000,10.015733,0
2001-05-28,null,null,null,null,null,null
2001-05-29,18.000000,18.000000,16.250000,16.250000,10.015733,0
2001-05-30,null,null,null,null,null,null
2001-05-31,18.000000,18.000000,16.299999,16.299999,10.046549,0
2001-06-01,18.000000,18.000000,16.340000,16.340000,10.071204,0
2001-06-04,17.250000,17.250000,16.799999,16.799999,10.354726,0
2001-06-05,17.500000,17.500000,16.299999,16.299999,10.046549,0
2001-06-06,null,null,null,null,null,null
2001-06-07,16.790001,16.790001,16.299999,16.299999,10.046549,0
2001-06-08,null,null,null,null,null,null
2001-06-11,16.600000,16.600000,16.299999,16.299999,10.046549,0
2001-06-12,16.600000,16.600000,16.000000,16.000000,9.861645,0
2001-06-13,16.600000,16.600000,16.000000,16.000000,9.861645,0
2001-06-14,null,null,null,null,null,null
2001-06-15,16.600000,16.600000,16.000000,16.000000,9.861645,0
2001-06-18,17.000000,17.000000,11.000000,11.000000,6.779880,0
2001-06-19,16.299999,16.299999,11.000000,11.000000,6.779880,0
2001-06-20,17.000000,17.000000,11.000000,11.000000,6.779880,0
2001-06-21,null,null,null,null,null,null
2001-06-22,null,null,null,null,null,null
2001-06-25,17.000000,17.000000,11.200000,11.200000,6.903150,0
2001-06-26,16.990000,16.990000,11.200000,11.200000,6.903150,0
2001-06-27,16.990000,16.990000,11.200000,11.200000,6.903150,0
2001-06-28,17.000000,17.000000,11.200000,11.200000,6.903150,0
2001-06-29,17.000000,17.000000,11.200000,11.200000,6.903150,0
2001-07-02,null,null,null,null,null,null
2001-07-03,null,null,null,null,null,null
2001-07-04,null,null,null,null,null,null
2001-07-05,null,null,null,null,null,null
2001-07-06,null,null,null,null,null,null
2001-07-09,17.000000,17.000000,16.200001,16.200001,9.984916,0
2001-07-10,17.000000,17.000000,16.760000,16.760000,10.330072,0
2001-07-11,null,null,null,null,null,null
2001-07-12,null,null,null,null,null,null
2001-07-13,17.500000,17.500000,11.200000,11.200000,6.903150,0
2001-07-16,17.049999,17.049999,11.200000,11.200000,6.903150,0
2001-07-17,17.000000,17.000000,11.200000,11.200000,6.903150,0
2001-07-18,17.049999,17.049999,11.200000,11.200000,6.903150,0
2001-07-19,17.049999,17.049999,11.200000,11.200000,6.903150,0
2001-07-20,17.049999,17.049999,11.200000,11.200000,6.903150,0
2001-07-23,17.049999,17.049999,11.200000,11.200000,6.903150,0
2001-07-24,17.049999,17.049999,11.200000,11.200000,6.903150,0
2001-07-25,17.049999,17.049999,11.200000,11.200000,6.903150,0
2001-07-26,17.049999,17.049999,11.200000,11.200000,6.903150,0
2001-07-27,17.049999,17.049999,11.200000,11.200000,6.903150,0
2001-07-30,11.200000,11.200000,11.200000,11.200000,6.903150,0
2001-07-31,11.200000,11.200000,11.200000,11.200000,6.903150,0
