Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.975640,9.093960,8.705190,8.789700,1.766295,8140435
2000-01-04,8.451640,8.485440,8.181180,8.181180,1.644012,24190581
2000-01-05,8.189640,8.282600,8.012150,8.214990,1.650807,36945507
2000-01-06,8.231890,8.291060,7.995250,8.079760,1.623632,13890801
2000-01-07,8.113570,8.164280,8.045960,8.164280,1.640616,43027169
2000-01-10,8.282600,8.367120,8.113570,8.333310,1.674583,18132583
2000-01-11,8.265700,8.350220,8.113570,8.138930,1.635522,22208716
2000-01-12,8.113570,8.164280,8.029050,8.122020,1.632124,10199208
2000-01-13,8.248800,8.341770,8.071310,8.181180,1.644012,14801867
2000-01-14,8.282600,8.341770,8.214990,8.316410,1.671187,10844053
2000-01-17,8.350220,8.451640,8.316410,8.434730,1.694964,11429739
2000-01-18,8.358670,8.384020,8.231890,8.240350,1.655902,12246149
2000-01-19,8.282600,8.282600,7.910730,7.927640,1.593064,27828929
2000-01-20,7.936090,7.936090,7.690990,7.741700,1.555699,18321895
2000-01-21,7.707890,7.775510,7.454340,7.555760,1.518334,15742513
2000-01-24,7.657180,7.775510,7.268410,7.268410,1.460591,21114254
2000-01-25,7.302210,7.521960,7.302210,7.437440,1.494557,16156634
2000-01-26,7.488150,7.614920,7.403630,7.606470,1.528524,16937548
2000-01-27,7.657180,7.690990,7.403630,7.420540,1.491161,16517511
2000-01-28,7.268410,7.352920,7.141630,7.141630,1.435115,15565033
2000-01-31,7.175440,7.183890,7.057120,7.099370,1.426622,24084093
2000-02-01,7.099370,7.369830,7.065570,7.369830,1.480971,16452435
2000-02-02,7.369830,7.412090,7.183890,7.200790,1.447003,21569787
2000-02-03,7.268410,7.538860,7.082470,7.150080,1.436813,60787043
2000-02-04,7.192340,7.268410,7.014860,7.014860,1.409640,30313655
2000-02-07,7.040210,7.657180,6.981050,7.606470,1.528524,22054900
2000-02-08,7.690990,7.809310,7.521960,7.589570,1.525128,37809245
2000-02-09,7.555760,7.606470,7.336020,7.352920,1.477573,23545735
2000-02-10,7.352920,7.471250,7.336020,7.437440,1.494557,25160807
2000-02-11,7.386730,7.420540,7.217700,7.234600,1.453797,12417713
2000-02-14,7.268410,7.344470,7.048660,7.344470,1.475875,9187570
2000-02-15,7.099370,7.352920,7.014860,7.310670,1.469083,18156247
2000-02-16,7.302210,7.403630,7.183890,7.268410,1.460591,53534010
