Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.962320,4.962320,4.815910,4.815910,1.110558,754816
2000-01-04,4.653810,4.842050,4.653810,4.753160,1.096088,7161548
2000-01-05,4.753160,4.862970,4.732250,4.794990,1.105734,10775751
2000-01-06,4.800220,5.218540,4.789760,5.218540,1.203406,14199069
2000-01-07,5.229000,5.563660,5.229000,5.542740,1.278166,11952062
2000-01-10,5.584570,5.615950,5.532280,5.605490,1.292637,5679046
2000-01-11,5.605490,5.657780,5.605490,5.647320,1.302283,7878575
2000-01-12,5.647320,5.678690,5.626400,5.678690,1.309517,4197514
2000-01-13,5.678690,5.751900,5.626400,5.647320,1.302283,2247007
2000-01-14,5.741440,5.856480,5.741440,5.793730,1.336045,5411615
2000-01-17,5.793730,6.013350,5.793730,5.992430,1.381866,4541493
2000-01-18,5.992430,6.002890,5.783270,5.783270,1.333633,9514171
2000-01-19,5.793730,5.856480,5.793730,5.856480,1.350516,2180149
2000-01-20,5.887850,5.887850,5.762360,5.825110,1.343281,1988296
2000-01-21,5.835560,5.856480,5.762360,5.783270,1.333633,2944655
2000-01-24,5.846020,5.846020,5.710070,5.710070,1.316753,2753771
2000-01-25,5.710070,5.710070,5.490450,5.542740,1.278166,2341965
2000-01-26,5.563660,5.720530,5.542740,5.720530,1.319165,1214101
2000-01-27,5.647320,5.657780,5.636860,5.647320,1.302283,6396073
2000-01-28,5.595030,5.647320,5.542740,5.647320,1.302283,2628775
2000-01-31,5.626400,5.626400,5.427700,5.427700,1.251638,4034729
2000-02-01,5.448620,5.511370,5.448620,5.500910,1.268521,8414407
2000-02-02,5.469530,5.542740,5.469530,5.521820,1.273342,1605559
2000-02-03,5.647320,5.741440,5.563660,5.647320,1.302283,7764238
2000-02-04,5.678690,5.720530,5.385870,5.385870,1.241992,4435877
2000-02-07,5.511370,5.647320,5.511370,5.636860,1.299871,7935743
2000-02-08,5.647320,5.647320,5.595030,5.595030,1.290225,4302161
2000-02-09,5.615950,5.636860,5.396330,5.448620,1.256462,7151858
2000-02-10,5.427700,5.469530,5.364950,5.438160,1.254050,6654784
2000-02-11,5.438160,5.438160,5.223770,5.229000,1.205818,4647109
