Date,Open,High,Low,Close,Adj Close,Volume
2007-11-08,36.250000,37.520000,36.250000,37.000000,31.342295,18031700
2007-11-09,36.900002,37.950001,36.900002,37.570000,31.825136,5043000
2007-11-12,37.570000,38.099998,37.189999,37.520000,31.782789,8279200
2007-11-13,37.599998,39.490002,37.590000,39.009998,33.044941,4356100
2007-11-14,39.150002,39.150002,38.000000,38.119999,32.291035,5983000
2007-11-15,38.119999,38.119999,37.799999,37.799999,32.019966,777600
2007-11-16,37.500000,37.500000,37.500000,37.040001,31.376183,5024870
2007-11-19,null,null,null,null,null,null
2007-11-21,37.299999,37.299999,36.099998,36.750000,31.130524,2949500
2007-11-22,36.650002,37.500000,36.650002,37.450001,31.723484,745400
2007-11-23,38.000000,38.000000,37.840000,37.840000,32.053852,1117600
2007-11-26,37.799999,37.799999,36.700001,36.740002,31.122055,195400
2007-11-27,36.759998,36.759998,36.020000,36.040001,30.529089,1739600
2007-11-28,36.110001,37.500000,36.110001,36.830002,31.198294,1533800
2007-11-29,36.830002,36.830002,36.000000,36.000000,30.495205,505200
2007-11-30,36.000000,36.009998,36.009998,36.000000,30.495205,2127800
2007-12-03,36.000000,36.299999,35.810001,36.299999,30.749334,140500
2007-12-04,36.310001,36.799999,36.799999,36.799999,31.172874,33707
2007-12-05,37.000000,37.500000,37.000000,37.500000,31.765837,1113800
2007-12-06,37.509998,38.400002,38.400002,38.049999,32.231739,2616500
2007-12-07,38.000000,38.099998,38.000000,38.000000,32.189384,2447000
2007-12-10,38.009998,38.349998,38.349998,38.150002,32.316448,775166
2007-12-11,38.150002,38.250000,38.000000,38.000000,32.189384,413600
2007-12-12,null,null,null,null,null,null
2007-12-13,38.000000,38.000000,37.869999,37.950001,32.147034,398900
2007-12-14,38.000000,38.099998,38.099998,38.099998,32.274086,830275
2007-12-17,37.750000,37.750000,37.700001,37.750000,31.977610,289900
2007-12-18,38.000000,38.000000,38.000000,37.500000,31.765837,1120718
2007-12-19,37.240002,37.250000,37.000000,37.099998,31.427006,51700
2007-12-20,36.990002,37.000000,36.959999,36.990002,31.333824,222500
2007-12-21,36.990002,37.500000,36.990002,37.099998,31.427006,73700
2007-12-24,35.000000,37.099998,35.000000,35.000000,29.648111,0
2007-12-26,36.900002,37.000000,36.900002,37.000000,31.342295,900
2007-12-27,37.000000,37.000000,36.750000,36.750000,31.130524,20300
2007-12-28,37.000000,37.000000,36.900002,37.000000,31.342295,45800
2007-12-31,37.000000,37.060001,37.000000,37.060001,31.393122,1900
2008-01-02,37.060001,37.060001,36.990002,37.000000,31.342295,200100
2008-01-03,36.950001,37.000000,36.500000,36.500000,30.918751,138000
2008-01-04,36.250000,36.310001,36.250000,36.310001,30.757797,86500
2008-01-07,36.250000,36.250000,36.000000,36.000000,30.495205,1683600
2008-01-08,37.099998,37.900002,36.000000,36.250000,30.706974,250200
2008-01-09,37.000000,37.000000,36.000000,36.189999,30.656153,292100
2008-01-10,35.990002,36.009998,35.990002,36.000000,30.495205,1263700
2008-01-11,35.750000,35.750000,35.750000,35.750000,30.283434,1610600
2008-01-14,35.750000,35.750000,35.500000,35.500000,30.071665,116400
2008-01-15,35.049999,35.049999,34.750000,34.750000,29.436342,101000
2008-01-16,33.000000,33.500000,33.000000,33.160000,28.089472,406800
2008-01-17,32.990002,33.009998,28.200001,28.200001,23.887909,989200
2008-01-18,32.430000,33.200001,32.419998,33.000000,27.953938,1386000
2008-01-21,31.500000,32.000000,31.299999,32.000000,27.106850,1053300
2008-01-22,32.000000,32.000000,31.480000,31.480000,26.666365,3196400
2008-01-23,31.100000,31.450001,30.500000,31.000000,26.259758,616500
2008-01-24,31.500000,32.000000,31.299999,32.000000,27.106850,4831700
2008-01-25,32.000000,32.000000,31.000000,31.000000,26.259758,3424100
2008-01-28,31.299999,31.299999,31.290001,31.290001,26.505419,733000
2008-01-29,31.400000,31.400000,31.400000,31.400000,26.598593,3000
2008-01-30,28.510000,30.200001,28.510000,30.020000,25.429611,3796200
2008-01-31,29.940001,31.500000,29.940001,31.500000,26.683302,6280200
2008-02-01,31.500000,32.500000,31.250000,32.500000,27.530394,796200
2008-02-05,32.389999,32.500000,32.000000,32.000000,27.106850,1435400
2008-02-06,32.009998,32.009998,31.990000,32.000000,27.106850,1554200
2008-02-07,31.990000,32.000000,31.490000,31.500000,26.683302,1770500
2008-02-08,31.990000,32.000000,31.990000,32.000000,27.106850,134000
2008-02-11,32.000000,32.000000,31.490000,31.490000,26.674833,26300
2008-02-12,31.500000,31.500000,31.170000,31.379999,26.581656,58700
2008-02-13,31.299999,31.299999,29.790001,30.270000,25.641382,77000
2008-02-14,30.270000,30.450001,29.990000,30.450001,25.793861,9313600
2008-02-15,30.990000,31.100000,30.990000,31.000000,26.259758,155300
2008-02-18,31.020000,31.500000,31.000000,31.480000,26.666365,10300
2008-02-19,31.480000,31.549999,31.350000,31.500000,26.683302,248400
2008-02-20,30.500000,30.500000,30.500000,30.500000,25.836214,3600
2008-02-21,32.500000,32.500000,31.000000,31.059999,26.310585,34000
2008-02-22,31.049999,31.400000,31.000000,31.400000,26.598593,23800
2008-02-25,31.200001,31.400000,31.200001,31.200001,26.429180,47000
2008-02-26,31.000000,31.400000,30.900000,31.000000,26.259758,732200
2008-02-27,31.170000,31.200001,30.400000,31.170000,26.403767,6469000
2008-02-28,31.500000,31.500000,31.500000,31.500000,26.683302,10500
2008-02-29,30.150000,31.400000,30.150000,30.150000,25.539736,3474700
2008-03-03,29.799999,31.000000,29.799999,29.799999,25.243252,36900
