Date,Open,High,Low,Close,Adj Close,Volume
2018-01-23,50030.558594,50306.878906,49884.910156,50260.250000,50260.250000,164040100
2018-01-24,50178.179688,50879.609375,50145.410156,50746.929688,50746.929688,203081600
2018-01-25,50821.828125,51100.031250,50625.558594,50777.898438,50777.898438,211170500
2018-01-26,50772.371094,51107.511719,50340.128906,51065.488281,51065.488281,201663100
2018-01-29,51081.468750,51121.230469,50520.281250,50636.320313,50636.320313,153099700
2018-01-30,50461.539063,50556.410156,49928.621094,50382.859375,50382.859375,131191800
2018-01-31,50385.949219,50566.660156,50127.011719,50456.171875,50456.171875,193869800
2018-02-01,50425.839844,50926.960938,50420.761719,50591.148438,50591.148438,173045000
2018-02-02,50388.000000,50513.308594,49900.468750,50395.828125,50395.828125,137153500
2018-02-06,49023.328125,49709.921875,48681.960938,49304.941406,49304.941406,241970300
2018-02-07,49247.640625,49504.980469,48853.691406,48976.449219,48976.449219,185614500
2018-02-08,49054.750000,49054.750000,47726.128906,47862.101563,47862.101563,253048900
2018-02-09,47998.800781,48139.851563,46985.808594,47799.089844,47799.089844,181847500
2018-02-12,47950.628906,48234.738281,47504.601563,47830.488281,47830.488281,136157700
2018-02-13,47892.468750,47995.859375,47675.480469,47926.730469,47926.730469,132844000
2018-02-14,47871.589844,48560.261719,47758.960938,48400.750000,48400.750000,151998500
2018-02-15,48547.851563,48984.218750,48378.019531,48808.390625,48808.390625,190985100
2018-02-16,48831.250000,49378.250000,48621.121094,48882.781250,48882.781250,131791700
2018-02-19,48886.968750,49198.140625,48820.531250,48928.480469,48928.480469,16629600
2018-02-20,48913.121094,48955.160156,48492.191406,48685.191406,48685.191406,140908500
2018-02-21,48749.050781,48930.699219,48431.968750,48535.589844,48535.589844,148051100
2018-02-22,48552.289063,49086.628906,48538.898438,48969.640625,48969.640625,174797900
2018-02-23,49176.308594,49176.308594,48488.179688,48643.429688,48643.429688,118771200
2018-02-26,48662.289063,48713.988281,48240.320313,48463.441406,48463.441406,142142400
2018-02-27,48481.898438,48532.550781,47886.359375,47970.191406,47970.191406,162311300
2018-02-28,48055.390625,48062.128906,47231.789063,47437.929688,47437.929688,268429100
2018-03-01,47470.671875,47800.558594,47157.109375,47599.421875,47599.421875,180647800
2018-03-02,47513.441406,47683.488281,47034.820313,47548.101563,47548.101563,135948400
2018-03-05,47628.808594,47827.398438,47217.980469,47720.910156,47720.910156,148487500
2018-03-06,47825.468750,48233.351563,47617.750000,47884.628906,47884.628906,170956000
2018-03-07,47815.699219,47831.921875,47529.769531,47662.121094,47662.121094,167836000
2018-03-08,47710.210938,48285.769531,47696.320313,48240.000000,48240.000000,161788800
2018-03-09,48242.621094,48809.320313,48208.750000,48556.449219,48556.449219,157745200
2018-03-12,48592.851563,48983.929688,48521.980469,48671.289063,48671.289063,155969600
2018-03-13,48652.988281,48896.671875,48471.261719,48557.011719,48557.011719,181292600
2018-03-14,48572.488281,48608.300781,48096.808594,48156.441406,48156.441406,130466800
2018-03-15,48107.859375,48508.261719,47778.921875,47817.050781,47817.050781,144253200
2018-03-16,47833.390625,47920.378906,47365.199219,47477.578125,47477.578125,626242600
2018-03-20,47342.378906,47360.511719,46987.308594,47076.511719,47076.511719,204182100
2018-03-21,47078.859375,47606.378906,46896.781250,47521.839844,47521.839844,243628900
2018-03-22,47457.929688,47566.488281,47152.460938,47361.039063,47361.039063,174611400
2018-03-23,47510.589844,47638.500000,46450.679688,46515.929688,46515.929688,219398300
2018-03-26,46621.050781,46938.929688,45895.101563,46858.460938,46858.460938,147884800
2018-03-27,46876.468750,47045.191406,46727.218750,46793.578125,46793.578125,136838600
2018-03-28,46860.839844,46876.609375,46041.390625,46124.851563,46124.851563,222370200
2018-04-02,46124.851563,46589.628906,45785.410156,45826.640625,45826.640625,123635900
2018-04-03,45940.640625,46753.390625,45868.039063,46684.058594,46684.058594,179119300
2018-04-04,46541.101563,47521.730469,46320.050781,47457.460938,47457.460938,204725400
2018-04-05,47438.261719,48172.941406,47418.449219,47951.750000,47951.750000,171675100
2018-04-06,47863.601563,48091.199219,47655.429688,47926.109375,47926.109375,141523700
2018-04-09,48008.898438,48307.359375,48000.921875,48058.960938,48058.960938,163936300
2018-04-10,48099.878906,48490.789063,48099.328125,48331.511719,48331.511719,197041800
2018-04-11,48253.839844,48571.410156,48186.519531,48532.140625,48532.140625,158662900
2018-04-12,48550.011719,48828.050781,48335.531250,48782.558594,48782.558594,153658600
2018-04-13,48817.171875,48828.898438,48560.261719,48768.300781,48768.300781,135504800
2018-04-16,48750.488281,48840.351563,48378.351563,48434.390625,48434.390625,135388400
2018-04-17,48420.511719,48965.941406,48340.039063,48933.609375,48933.609375,191182900
2018-04-18,49032.921875,49187.558594,48964.328125,49090.738281,49090.738281,185636800
2018-04-19,48881.679688,49193.050781,48574.250000,48745.281250,48745.281250,186815800
2018-04-20,48815.328125,48958.390625,48209.539063,48431.578125,48431.578125,145440100
2018-04-23,48366.078125,48995.800781,48350.398438,48442.218750,48442.218750,154739600
2018-04-24,48458.519531,48597.308594,47915.941406,48046.800781,48046.800781,138630000
2018-04-25,48028.859375,48252.921875,47884.640625,48058.210938,48058.210938,148755800
2018-04-26,48012.679688,48407.820313,47907.550781,48297.710938,48297.710938,199167500
2018-04-27,48222.039063,48466.011719,48140.558594,48284.609375,48284.609375,181149200
2018-04-30,48275.640625,48504.441406,48236.648438,48358.160156,48358.160156,158828400
2018-05-02,48318.031250,48496.089844,47781.039063,47809.980469,47809.980469,224921700
2018-05-03,47833.238281,47833.238281,47030.859375,47094.128906,47094.128906,227437900
2018-05-04,47090.761719,47164.871094,46741.718750,46992.171875,46992.171875,143106300
2018-05-07,47013.550781,47078.929688,46424.261719,46474.699219,46474.699219,130076500
2018-05-08,46458.000000,46747.820313,46311.488281,46719.511719,46719.511719,151576700
2018-05-09,46747.828125,46815.261719,46162.230469,46294.429688,46294.429688,149268500
2018-05-10,46280.050781,46931.488281,46280.050781,46551.550781,46551.550781,162391500
2018-05-11,46634.699219,46876.960938,46255.191406,46728.921875,46728.921875,112927100
2018-05-14,46724.691406,46842.519531,46488.718750,46519.289063,46519.289063,147800800
2018-05-15,46463.859375,46537.519531,45959.121094,46258.960938,46258.960938,209492200
2018-05-16,46267.019531,46507.210938,46197.320313,46419.769531,46419.769531,130694200
2018-05-17,46422.351563,46433.140625,45746.898438,45787.898438,45787.898438,141663500
2018-05-18,45731.628906,45810.878906,45364.910156,45666.769531,45666.769531,261968200
2018-05-21,45707.308594,45999.589844,45289.410156,45305.019531,45305.019531,139278500
2018-05-22,45384.839844,45640.289063,45104.808594,45600.871094,45600.871094,145395600
2018-05-23,45530.269531,45985.828125,45226.570313,45776.691406,45776.691406,137643600
2018-05-24,45743.148438,45799.050781,45363.980469,45433.089844,45433.089844,113011500
2018-05-25,45503.460938,45775.078125,45055.921875,45091.988281,45091.988281,154111900
2018-05-28,45071.148438,45322.488281,44795.359375,44851.050781,44851.050781,33191800
2018-05-29,44866.199219,45157.148438,44582.941406,44647.371094,44647.371094,169415800
2018-05-30,44635.281250,44956.378906,44436.140625,44715.878906,44715.878906,195730500
2018-05-31,44666.910156,44843.410156,44429.359375,44662.550781,44662.550781,696609200
2018-06-01,44692.789063,45155.621094,44531.800781,45013.121094,45013.121094,115933300
2018-06-04,45024.960938,45344.160156,45016.320313,45243.980469,45243.980469,136759300
2018-06-05,45206.781250,45555.519531,45073.710938,45130.699219,45130.699219,174165900
2018-06-06,45192.488281,45295.980469,45115.539063,45181.820313,45181.820313,132366900
2018-06-07,45095.449219,45508.441406,44977.828125,45476.570313,45476.570313,155293500
2018-06-08,45479.949219,45990.148438,45281.078125,45939.539063,45939.539063,110956600
2018-06-11,45903.890625,46402.410156,45888.238281,46301.140625,46301.140625,159921600
2018-06-12,46385.890625,46838.250000,46274.199219,46660.750000,46660.750000,157456500
2018-06-13,46579.730469,47170.578125,46579.730469,46760.578125,46760.578125,185514000
2018-06-14,46620.449219,47282.851563,46601.351563,47197.238281,47197.238281,195121600
2018-06-15,47139.269531,47202.359375,46584.449219,46938.820313,46938.820313,611452000
2018-06-18,46917.480469,46917.480469,46267.750000,46660.871094,46660.871094,123654900
2018-06-19,46389.410156,46601.460938,46238.769531,46488.378906,46488.378906,149355700
2018-06-20,46518.289063,46883.851563,46515.871094,46759.410156,46759.410156,164021300
2018-06-21,46627.761719,46753.191406,46419.390625,46456.910156,46456.910156,157877500
2018-06-22,46472.628906,46777.660156,46285.039063,46737.640625,46737.640625,126571900
2018-06-25,46832.589844,47059.921875,46501.238281,46747.851563,46747.851563,143640500
2018-06-26,46818.898438,46961.468750,46569.011719,46908.941406,46908.941406,145397600
2018-06-27,46874.351563,47026.359375,46690.390625,46874.429688,46874.429688,155250800
2018-06-28,46849.800781,47250.550781,46649.929688,47031.269531,47031.269531,164828300
2018-06-29,47025.699219,47705.570313,47021.710938,47663.199219,47663.199219,186005000
2018-07-02,47684.429688,47695.640625,46566.289063,46653.519531,46653.519531,130376900
2018-07-03,46732.808594,47248.730469,46652.820313,47053.890625,47053.890625,123660200
2018-07-04,46904.839844,47384.710938,46877.328125,47318.519531,47318.519531,27786300
2018-07-05,47319.710938,48617.250000,47008.000000,48562.648438,48562.648438,195996000
2018-07-06,48539.570313,49277.789063,48398.058594,48981.410156,48981.410156,186006200
2018-07-09,49036.570313,49477.308594,48848.968750,49235.808594,49235.808594,110589400
2018-07-10,49277.011719,49427.531250,48747.328125,48990.921875,48990.921875,199193400
2018-07-11,48890.488281,49058.250000,48689.109375,49025.148438,49025.148438,153113200
2018-07-12,49081.378906,49081.378906,48663.628906,48696.300781,48696.300781,167303600
2018-07-13,48692.859375,48700.769531,48327.320313,48406.011719,48406.011719,157090100
2018-07-16,48187.578125,48555.261719,48052.878906,48454.210938,48454.210938,104742500
2018-07-17,48459.238281,48744.671875,48264.851563,48704.628906,48704.628906,136881700
2018-07-18,48710.898438,49119.671875,48659.789063,49002.769531,49002.769531,119118000
2018-07-19,48893.121094,49028.488281,48607.539063,48747.789063,48747.789063,125988900
2018-07-20,48826.101563,48945.988281,48397.250000,48908.238281,48908.238281,133637800
2018-07-23,48909.488281,49023.710938,48691.250000,48850.929688,48850.929688,93642900
2018-07-24,48905.011719,49576.878906,48896.531250,49462.769531,49462.769531,160356400
