AC.MX,ALPEKA.MX,ALSEA.MX,AMXL.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,BSMXB.MX,CEMEXCPO.MX,CUERVO.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GENTERA.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,IENOVA.MX,KIMBERA.MX,KOF,LABB.MX,LIVEPOLC-1.MX,MEGACPO.MX,MXCHF,OMAB.MX,PE&OLES.MX,PINFRA.MX,RA.MX,TLEVISACPO.MX
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,7.416667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,7.333333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,7.333333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,7.208333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,7.25,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,7.125,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,7.208333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,7.416667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,7.583333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,7.625,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,7.75,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
